Date,Open,High,Low,Close,Adj Close,Volume
2015-01-06,202.089996,202.720001,198.860001,199.820007,176.034042,209151400
2015-01-07,201.419998,202.720001,200.880005,202.309998,178.227661,125346700
2015-01-08,204.009995,206.160004,203.990005,205.899994,181.390289,147217800
2015-01-09,206.399994,206.419998,203.509995,204.250000,179.936707,158567300
2015-01-12,204.410004,204.600006,201.919998,202.649994,178.527176,144396100
2015-01-13,204.119995,205.479996,200.509995,202.080002,178.025009,214553300
2015-01-14,199.649994,201.100006,198.570007,200.860001,176.950226,192991100
2015-01-15,201.630005,202.009995,198.880005,199.020004,175.329300,176613900
2015-01-16,198.770004,201.820007,198.550003,201.630005,177.628586,211879600
2015-01-20,202.399994,202.720001,200.169998,202.059998,178.007401,130991100
2015-01-21,201.500000,203.660004,200.940002,203.080002,178.905945,122942700
2015-01-22,203.990005,206.259995,202.330002,206.100006,181.566437,174356000
2015-01-23,205.789993,206.100006,204.809998,204.970001,180.570969,117516800
2015-01-26,204.710007,205.559998,203.850006,205.449997,180.993866,92009700
2015-01-27,202.970001,204.119995,201.740005,202.740005,178.606430,134044600
2015-01-28,204.169998,204.289993,199.910004,200.139999,176.315964,168514300
2015-01-29,200.380005,202.300003,198.679993,201.990005,177.945709,173585400
2015-01-30,200.570007,202.169998,199.130005,199.449997,175.708069,197729700
2015-02-02,200.050003,202.029999,197.860001,201.919998,177.884064,163107000
2015-02-03,203.000000,204.850006,202.550003,204.839996,180.456482,124212900
2015-02-04,203.919998,205.380005,203.509995,204.059998,179.769302,134306700
2015-02-05,204.860001,206.300003,204.770004,206.119995,181.584091,97953200
2015-02-06,206.559998,207.240005,204.919998,205.550003,181.081924,125672000
2015-02-09,204.770004,205.639999,204.139999,204.630005,180.271469,87219000
2015-02-10,205.880005,207.119995,204.679993,206.809998,182.191986,96164200
2015-02-11,206.610001,207.449997,205.830002,206.929993,182.297638,91087800
2015-02-12,207.889999,208.990005,206.970001,208.919998,184.050827,97545900
2015-02-13,209.070007,209.839996,208.759995,209.779999,184.808395,93670400
2015-02-17,209.399994,210.320007,209.100006,210.110001,185.099136,76968200
2015-02-18,209.660004,210.220001,209.339996,210.130005,185.116745,80652900
2015-02-19,209.410004,210.419998,209.240005,209.979996,184.984604,91462500
2015-02-20,209.479996,211.330002,208.729996,211.240005,186.094666,140896400
2015-02-23,210.940002,211.210007,210.479996,211.210007,186.068222,74411100
2015-02-24,211.119995,212.050003,210.759995,211.809998,186.596802,72472300
2015-02-25,211.660004,212.240005,211.220001,211.630005,186.438232,73061700
2015-02-26,211.520004,211.710007,210.649994,211.380005,186.217957,72697900
2015-02-27,211.259995,211.580002,210.600006,210.660004,185.583694,108076000
2015-03-02,210.779999,212.059998,210.720001,211.990005,186.755356,87491400
2015-03-03,211.470001,212.050003,210.080002,211.119995,185.988907,110325800
2015-03-04,210.399994,210.490005,209.059998,210.229996,185.204880,114497200
2015-03-05,210.619995,210.800003,209.850006,210.460007,185.407516,76873000
2015-03-06,209.419998,209.940002,207.100006,207.500000,182.799850,188128000
2015-03-09,207.740005,208.789993,207.550003,208.360001,183.557449,89818900
2015-03-10,206.710007,206.809998,204.929993,204.979996,180.579849,157121300
2015-03-11,205.289993,205.500000,204.399994,204.500000,180.156937,110145700
2015-03-12,205.259995,207.179993,205.199997,207.100006,182.447464,93993500
2015-03-13,206.770004,207.929993,204.580002,205.830002,181.328613,162410900
2015-03-16,206.710007,208.690002,205.860001,208.580002,183.751282,136099200
2015-03-17,207.690002,208.419998,206.979996,207.960007,183.205124,94510400
2015-03-18,207.389999,211.270004,206.619995,210.460007,185.407516,228808500
2015-03-19,209.960007,210.470001,209.029999,209.500000,184.561783,117917300
2015-03-20,209.710007,211.020004,209.490005,210.410004,186.190872,177715100
2015-03-23,210.419998,211.110001,210.000000,210.000000,185.828018,71784500
2015-03-24,209.850006,210.399994,208.740005,208.820007,184.783890,77805300
2015-03-25,209.070007,209.350006,205.710007,205.759995,182.076126,159521700
2015-03-26,204.960007,206.369995,204.119995,205.270004,181.642502,153067200
2015-03-27,205.130005,205.949997,204.899994,205.740005,182.058411,118939000
2015-03-30,206.979996,208.610001,206.960007,208.250000,184.279480,96180400
2015-03-31,207.259995,208.100006,206.360001,206.429993,182.668961,126768700
2015-04-01,206.389999,206.419998,204.509995,205.699997,182.022980,137303600
2015-04-02,205.619995,206.979996,205.399994,206.440002,182.677826,86900900
2015-04-06,205.369995,208.449997,205.210007,207.830002,183.907837,114368200
2015-04-07,207.860001,208.759995,207.240005,207.279999,183.421112,81236300
2015-04-08,207.550003,208.509995,207.080002,207.979996,184.040573,89351900
2015-04-09,207.779999,209.179993,207.190002,208.899994,184.854660,85548900
2015-04-10,209.199997,210.089996,208.960007,210.039993,185.863449,72722900
2015-04-13,209.869995,210.630005,209.029999,209.089996,185.022797,74436600
2015-04-14,208.850006,209.710007,208.100006,209.490005,185.376755,75099900
2015-04-15,210.050003,211.039993,209.949997,210.429993,186.208542,99529300
2015-04-16,210.029999,210.979996,209.789993,210.369995,186.155472,68934900
2015-04-17,208.940002,209.229996,207.009995,207.949997,184.014023,191113200
2015-04-20,209.059998,210.250000,208.960007,209.850006,185.695328,92189500
2015-04-21,210.669998,210.860001,209.240005,209.600006,185.474106,72559800
2015-04-22,210.009995,210.850006,208.899994,210.630005,186.385529,78264600
2015-04-23,210.149994,211.940002,210.009995,211.160004,186.854538,102585900
2015-04-24,211.660004,211.970001,211.110001,211.649994,187.288147,61327400
2015-04-27,212.330002,212.479996,210.539993,210.770004,186.509476,79358100
2015-04-28,210.740005,211.500000,209.330002,211.440002,187.102310,86863500
2015-04-29,210.369995,211.289993,209.600006,210.570007,186.332397,125684900
2015-04-30,209.880005,210.350006,207.619995,208.460007,184.465363,161304900
2015-05-01,209.399994,210.770004,209.279999,210.720001,186.465225,103399700
2015-05-04,211.229996,212.020004,211.100006,211.320007,186.996140,70927200
2015-05-05,211.029999,211.460007,208.729996,208.899994,184.854660,113326200
2015-05-06,209.559998,209.929993,206.759995,208.039993,184.093658,135060200
2015-05-07,207.919998,209.380005,207.520004,208.869995,184.828110,88244900
2015-05-08,210.880005,211.860001,210.779999,211.619995,187.261551,155877300
2015-05-11,211.570007,211.889999,210.520004,210.610001,186.367828,75708100
2015-05-12,209.610001,210.630005,208.619995,209.979996,185.810379,119727600
2015-05-13,210.470001,211.220001,209.740005,210.020004,185.845734,94667900
2015-05-14,211.240005,212.320007,210.910004,212.210007,187.783676,95934000
2015-05-15,212.440002,212.610001,211.860001,212.440002,187.987198,76510100
2015-05-18,212.240005,213.399994,212.160004,213.100006,188.571274,74549700
